ID	GSM172405	GSM172406	GSM172407	GSM172408	GSM172409	GSM172410	GSM172411	GSM172412	GSM172413	GSM172414	GSM172415	GSM172416	GSM172417	GSM172418	GSM172419	GSM172420	GSM172421	GSM172422	GSM172423	GSM172424	GSM172425	GSM172426	GSM172427	GSM172428	GSM172429	GSM172430
ABCB5	2.61619438505398	3.1701631364929	1.9433224989644	1.6210425112894	2.30931907482505	2.79203911518498	2.26150083565779	2.32450750199359	2.97073118422117	2.39525662747265	1.39354048773956	1.99068011128296	2.35142830351459	2.61079707874447	2.6967015085243	1.17231642438197	2.22268661165381	2.20719891441452	2.20226782927647	2.66058657783356	2.21127592736413	3.00520221674623	2.2156407285922	1.78981743001505	3.04737877591123	2.49421812549445
ABCB6	3.40480265778683	3.39808264494198	3.33900037463099	3.97705696598092	3.69301343341575	4.02816966883426	3.85092699263074	3.04952092644974	3.96975246516963	3.53733574932748	3.86446663671937	3.51500889412416	4.21508596960601	3.55795013470346	2.58431075945067	3.82467779433021	4.04695398427374	3.71119775555795	3.03073921045326	4.12482408996191	2.95871893769394	3.75487854167024	1.92020987668466	1.741920637544	4.08905238160421	2.96880450719186
ABCB7	6.46873051634703	6.25376797307552	6.22561374275083	5.98579109044913	6.4310086292185	6.210864951724	5.59081587387769	6.08070891392244	6.01632486364541	6.38169234203108	6.24814544146683	6.14190856562918	6.04862888536956	6.49760768550162	6.50426506980642	6.06427611186911	6.61680385615342	6.01846813543667	6.50247808702757	6.43360205748176	6.34988686813048	6.16580355483571	6.26180206391254	5.98966608867326	5.97079503744886	6.47543144242884
ABCB8	3.97553549277581	4.72864600337404	3.87434591826977	3.87142430350284	3.78743596980295	4.73369151822784	3.46754130278798	3.57511315741515	4.10515260603425	3.97933743646994	4.09850782332028	4.13813069124492	3.93283876560071	4.56061989666768	4.21149965610812	4.37239763860834	3.93791885961428	3.96380739187601	3.98578955256848	4.52299084713856	4.04837641061765	3.70324603341329	4.43548282463472	4.44830131073917	4.13676441529094	4.18755444912974
ABCB9	3.10824185375465	3.1619712599232	4.46060184922618	4.47945503575661	3.18391853260512	3.5309099532628	3.35328235155887	3.72292930087736	3.2003203181664	4.5281165094796	3.71847686032937	3.53852456919454	3.12976837436672	2.65582943790453	2.76124715055955	4.08489967639543	3.58363468963895	3.04500196093012	3.98690982838644	2.92785392221625	3.61798502029163	2.87555386176022	3.62072895495119	3.12615328603673	4.19616556693053	2.87839834497876
ABCC1	6.9754493650008	6.6293425053639	6.47278571732824	6.52398823210661	6.4489922471887	6.40309221305443	6.53798496891833	7.00198418171254	6.49100783937174	6.53622102986695	6.69175513833285	6.26061036649502	6.47582667937316	6.93037465366756	6.44931088218388	6.50831709349245	6.4310086292185	6.64729686671391	6.41093936754209	6.65912377094602	6.44966938419164	6.52610909163495	6.50583191621135	6.44631264941435	6.60451074911684	6.75592576933179
ABCC10	6.33621255708352	6.10305217168901	5.80492497094994	6.21255208053372	6.23816088318166	6.19574850824445	5.83449502637048	6.08922186305947	6.15611793309195	6.6106623235285	6.37205121940361	6.0054072491056	5.84967014986582	6.20460477551794	6.1237782114717	6.32130824939317	6.19938428809734	6.15930659302074	6.27203946063973	5.92167588678444	6.14967632710475	5.82568308042518	6.44242705102113	6.03581985961846	6.45906354287951	6.18428821517006
ABCC11	1.73132414287901	1.8334263206912	1.5540761200998	2.24671178263466	2.01258951975541	2.19378313759849	1.71292053852317	1.20038872469575	2.0209070632524	2.09303586560759	3.24850756790272	2.59628865474562	3.08256244290002	3.00892166978523	2.48997766435947	2.21195322656567	2.22409838004515	2.47767334532661	1.85301055635268	2.75783462417252	2.12648758686055	2.25918693456479	2.04623582122199	3.53841338185029	2.57053221562783	2.52178984458382
ABCC12	2.35459388460178	1.9553982890928	2.5399597296207	1.8408465450209	2.36708712490598	2.04431845512696	1.87173608176926	0.859959586982382	1.85432529014912	2.31460661505765	1.25812068059011	2.37985213401139	2.63707083550512	0.160359380844234	2.23925050512429	1.29070354565685	2.84785724625187	2.01119839400891	1.96046435762077	2.66174270279601	2.75994975075916	1.59990622798147	1.78188683720008	2.86090317007435	2.38408109040882	2.75426574055838
ABCC13	3.24906100829729	2.82854426465607	2.30366397423669	1.88185256746274	2.62534380890732	1.95019833343253	3.28172095815108	2.66394834964395	2.9094143219661	2.24978660322445	3.12421774047399	2.83438018741827	2.57612706737991	2.21929244532955	1.87893825555223	2.07352741324541	2.05281994258896	2.76834896351735	2.81760943800695	2.41057241157621	3.19379107211752	3.00300669504003	3.31440243411911	2.9708236053138	2.40773720442735	3.15822694760062
