id	PD_meta_logFC	PD_meta_p	PD_I2	PD_meta_FDR
ACAA1	-0.11074550047484	2.79711676609663e-05	29.8499549452731	5.93548177765706e-05
ACAA2	0.150414061036144	0.000128267677751226	0	0.00024850312605788
ACACA	-0.345091691245602	4.35383940765014e-38	0	1.30883668992976e-36
ACACB	0.232815894999837	1.16070438042831e-05	51.263683541836	2.58432599799846e-05
ACAD10	-0.0295636048877006	0.363009712366573	0	0.378715147316552
ACAD8	-0.0316613501539365	0.548822136546585	54.4777375925838	0.566926572183194
ACAD9	-0.0570385649310258	0.029712573047452	0	0.0383488858716918
ACADL	-0.312195020062489	1.38878986251393e-19	0	1.08863984138043e-18
ACADM	0.207944637035086	5.56328116638417e-06	0	1.28433255341189e-05
ACADS	0.129214982022883	0.000275020418969117	0	0.000509191469610548
ACADSB	-0.289736540904401	3.8918982672365e-09	0	1.25915998289049e-08
ACADVL	0.065016241324219	0.136071927253989	0	0.15201792207372
ACAN	0.177658736081979	4.97076775589013e-08	0	1.4428345351302e-07
ACAP1	0.29727950914741	9.25937498489551e-11	0	3.48739500109752e-10
ACAP2	-0.344544025840576	3.52661566606726e-15	0	1.96690064220331e-14
ACAP3	-0.219971786440531	0.000111386494896513	0	0.000217904361003082
ACAT2	-0.534798201177585	4.22314905863865e-43	0	1.8007787132545e-41
ACBD3	-0.143810906017175	0.00195390597859744	0	0.00316304093842775
ACBD4	0.391603873446889	5.96185561244279e-38	0	1.77448827857476e-36
ACBD5	-0.346918023105697	1.47508813937436e-13	0	7.14835163081552e-13
ACBD6	-0.168061226306112	4.63377365058369e-10	0	1.63464454010518e-09
ACCS	-0.0804777967912972	0.0101620623761737	0	0.0144279848141565
ACE	0.144347174214199	0.000127377815647078	0	0.000246991363236546
ACE2	-0.249901942072053	7.27065434327921e-11	0	2.76902010958039e-10
ACER1	-0.602063242437985	1.79605031238815e-45	0	9.30901134613365e-44
ACER3	0.217762288179191	7.80260309420926e-09	36.9039400874202	2.44502348871182e-08
ACIN1	0.207191436763182	1.9885610629371e-06	0	4.83717813785521e-06
ACKR1	0.839177194944721	1.52915548171689e-47	0	9.25549577977434e-46
ACKR3	-0.107518355718367	0.0738231029689991	0	0.0873031279997271
ACKR4	-0.481775284971356	2.37527302018595e-28	0	3.49737138490564e-27
ACLY	0.0683956725409144	0.0115028562845334	75.1277799599493	0.0161410470518226
ACMSD	0.030367980820019	0.0470867387369248	0	0.0581077932811927
ACN9	-0.299138152851327	1.25831113490642e-12	0	5.61091667251101e-12
ACO1	0.240011040815651	1.09982300310984e-16	0	6.96541696175992e-16
ACO2	0.10659201900105	0.0656828220825883	0	0.0785676146895447
ACOT1	-0.112317286007407	0.000977982537659778	0	0.00166965177773492
ACOT13	-0.110016055354453	0.0051542616825947	0	0.00774147872170544
ACOT4	-0.0916842465801478	0.000276439129045909	0	0.000511608102873083
ACOT7	-0.200160741964842	1.07941648869141e-07	0	3.01571177300603e-07
ACOT9	0.207053574162226	5.25063763066789e-08	0	1.51893746502577e-07
ACOX1	-0.0312254277590594	0.19966588927888	0	0.215844989207262
ACOX2	-0.0317892722543353	0.327991642842385	0	0.343593057378795
ACOX3	-0.351417879760889	1.67342420701488e-30	0	2.83680003965483e-29
ACOXL	0.3354104463878	1.21271963200774e-16	0	7.65622121194387e-16
ACP1	-0.0854869007713333	0.000764557192903177	9.68473776823147	0.0013279073749056
ACP2	0.510872323417896	3.3529479189805e-42	0	1.3469292119076e-40
ACP5	-0.170929123652114	1.01842848891674e-06	0	2.55876788613891e-06
ACP6	-0.0880894650150077	0.000722021149981685	0	0.00125887824864376
ACPP	-0.841635734941226	1.63305465697787e-41	0	6.21422085398941e-40
ACPT	-0.148642466372095	8.68882760492132e-07	21.9021800239895	2.19927565969641e-06
ACR	0.0920830862875589	0.00108104933581907	17.7045012233814	0.00183156930961568
ACRBP	0.0299198758348792	0.232278212614769	0	0.248287431606767
ACRC	-0.205578066613232	4.13743570478792e-07	0	1.08280510457429e-06
ACRV1	0.0568258954223874	0.100062625157272	0	0.114862188631179
ACSBG1	-0.27243884279283	1.12720153332131e-28	89.0413070068656	1.69427783804304e-27
ACSF2	-0.114098191772421	0.000164582361475773	0	0.000314367473677699
ACSF3	0.0810171866747113	0.00218072056759161	0	0.00350255181457256
ACSL1	-0.224173660967841	5.07719444642662e-08	0	1.47230476254336e-07
ACSL3	-0.284921615770953	1.28730139703661e-13	0	6.27881430458337e-13
ACSL4	0.184901054182936	1.76445541084192e-05	0	3.84087403395554e-05
ACSL5	0.422367317466439	3.65214370040118e-33	0	7.43495665057969e-32
ACSM1	0.106558221580804	1.77829296987584e-07	0	4.85255305052208e-07
ACSM2A	0.0151333161636467	0.550166351892404	80.2585211107302	0.568282584416636
ACSM3	-0.0854555546983432	0.000128245875400661	0	0.000248487577033164
ACSM5	-0.0415128258556334	0.0882985288752172	0	0.102671516588596
ACSS1	0.236832570636392	1.70040820631614e-13	0	8.20718833752321e-13
ACSS2	-0.0486242472721947	0.0396041564370494	0	0.049648329834241
ACSS3	0.102053863931633	0.000401127758978255	0	0.000724673616655727
ACTA1	0.0754588529888096	0.0135942561466423	0	0.0188065346001677
ACTA2	-1.19156078436106	2.54874350362899e-07	0	6.83695517176622e-07
ACTA2-AS1	-0.0850631044295915	1.18837739131666e-05	0	2.64161798985109e-05
ACTB	0.303562176377524	0.00338970708135358	0	0.00526117774945138
ACTBP9	0.162670245183449	0.0110047662031488	0	0.0155072631254839
ACTC1	0.125453344726775	0.000978770633894914	0	0.00167070970189474
ACTG1P4	-0.127577973440582	0.00111592133900204	0	0.00188445587412974
ACTG2	0.215449003418988	1.63834783270786e-14	0	8.64566408968744e-14
ACTL10	-0.181193301815925	1.16551627913152e-07	0	3.24369960294634e-07
ACTL6A	-0.235979921426152	2.60554308759798e-08	0	7.77181754109555e-08
ACTL6B	0.0825757821543084	0.00368016270425749	51.3602219730633	0.00566906607709389
ACTL7A	-0.00291291889437496	0.927615290984181	41.8974366470455	0.935185121205169
ACTL7B	0.00435269796691158	0.850216111617859	16.1227918217752	0.863457412239568
ACTL8	0.124041126430237	0.000112360903521908	0	0.000219667636768335
ACTL9	-0.0714630653984609	0.00159769570340977	48.3101995157405	0.00262694962647238
ACTN1	0.18828297841587	9.87647869495743e-06	46.696040138835	2.21569709230034e-05
ACTN2	0.111792685945633	0.00341373414963835	0	0.00529482525213062
ACTR10	-0.3427708242988	1.22189461502287e-38	0	3.80644441643653e-37
ACTR1A	0.0411060223355245	0.189958521037704	0	0.206191360892885
ACTR1B	-0.0509322293982731	0.0574474673148703	0	0.0695749659543622
ACTR2	0.341801095675922	1.11774049739138e-09	0	3.80893356347029e-09
ACTR3	0.245689171057759	0.0319283571057959	0	0.040918841631181
ACTR3B	-0.177823258500535	5.24184927707855e-13	0	2.43177045809326e-12
ACTR3BP2	-0.0031501491124083	0.918828562564559	54.2615482214672	0.927155847998711
ACTR3C	-0.120918253286838	0.0013167564951361	0	0.00219605519211926
ACTR3P2	-0.0644678291709892	0.000139460161186006	0	0.000268743902490597
ACTR5	-0.0986990049891532	7.96553664813239e-05	0	0.000158756225991562
ACTR6	-0.340942676460711	5.50245522650698e-14	0	2.78316839373265e-13
ACTR8	0.131576311631002	9.94144295858033e-10	0	3.40447705798203e-09
ACTRT2	0.00386284820245045	0.8884160247747	43.0513045704432	0.899587932344988
ACTRT3	-0.191447114686888	2.88384380625193e-15	58.4490734328548	1.61992808263364e-14
ACVR1	-0.0555678928275546	0.167207906686344	0	0.183394892848987
ACVR1B	-0.309234067422269	1.98248659383978e-31	0	3.59017175633415e-30
ACVR1C	0.100764277865371	0.0413041981447841	0	0.0515859175971105
ACVR2A	-0.238698378334279	1.31793574136719e-09	0	4.46331336219302e-09
ACVR2B	0.0941500145539398	0.00157086819733211	0	0.00258637605433859
ACVRL1	0.460301127789627	1.01600092851077e-35	0	2.51380092558967e-34
ACY3	0.147132902108533	1.01800401092187e-07	0	2.85386048259213e-07
ACYP1	-0.171203140683396	2.95490056520366e-05	0	6.25557998762658e-05
ACYP2	-0.316365682323103	7.48977407713137e-15	0	4.06906792256682e-14
ADA	0.719778172470755	2.05554325723584e-63	0	4.57726342355097e-61
ADAD1	0.0119911563421871	0.727154463330965	25.4280977286702	0.7451247048688
ADAD2	-0.0344217021541423	0.232026870711753	0	0.248048166609049
ADAM10	0.189184531712154	5.07732401485614e-06	0	1.17832852876943e-05
ADAM12	0.434357174466974	3.6032492472602e-14	45.9118271525867	1.84426239139706e-13
ADAM15	0.217198041043489	6.52085839155166e-07	0	1.66903253595029e-06
ADAM17	-0.197938970444036	8.53306756750715e-08	0	2.40975324432639e-07
ADAM18	0.0274428609301321	0.129348020178802	0	0.145009027283551
ADAM19	0.39745339486952	1.402932621746e-20	0	1.17805845895869e-19
ADAM1A	-0.449509636782208	7.07235759403178e-12	4.20281137425231	2.95972422096407e-11
ADAM23	-0.263597125619715	9.23033827395342e-09	0	2.87394461327978e-08
ADAM28	1.41920559424225	1.94707689452098e-68	0	7.98168771510795e-66
ADAM29	0.0535624446525715	0.0304293252353798	50.3557066128132	0.0392066389935385
ADAM33	0.0673365940855983	0.10372478911423	0	0.118703383113594
ADAM5	0.0514236087440487	0.0331526791347265	0	0.0423464962504823
ADAM6	0.000321929995933602	0.990914059182844	0	0.992023521820248
ADAM7	-0.06450456210239	0.000726277550734448	0	0.00126568774711084
ADAM8	0.302447322549138	4.84731540173714e-12	0	2.05962374325401e-11
ADAM9	-0.182606397914753	0.00268637108492443	0	0.00424402866416589
ADAMDEC1	0.652597757822394	8.83936759342846e-15	0	4.77495277875619e-14
ADAMTS1	0.68375753855537	2.26966785699115e-23	0	2.35682205737187e-22
ADAMTS10	0.228076847398287	3.63441231991241e-07	0	9.56991168091388e-07
ADAMTS12	0.164212969778705	1.33307738776702e-06	0	3.30103196638575e-06
ADAMTS14	-0.00868420838388169	0.775220195189373	1.88954736702301	0.791993580324595
